,DATE_REPORTED,DATE_OCCURRED,TIME_OCCURRED,PATROL_DIVISION,AREA_NAME,CRIME_CODE,CRIME_DESCRIPTION,VICTIM_AGE,VICTIM_SEX,VICTIM_RACE,PREMISE,LAT,LON
64,2008-11-09,2008-11-08,23:00:00,34.0,MANHATTAN,341,PETIT LARCENY,25-44,M,UNKNOWN,STREET,40.869008717,-73.920320439
65,2006-04-23,2006-04-23,04:00:00,114.0,QUEENS,347,INTOXICATED & IMPAIRED DRIVING,,E,UNKNOWN,STREET,,
66,2006-04-26,2006-04-26,15:52:00,70.0,BROOKLYN,355,OFFENSES AGAINST THE PERSON,,E,UNKNOWN,TRANSIT - NYC SUBWAY,,
67,2006-04-17,2006-04-16,23:00:00,78.0,BROOKLYN,341,PETIT LARCENY,<18,M,WHITE,STREET,,
68,2006-04-19,2006-04-18,23:45:00,44.0,BRONX,117,DANGEROUS DRUGS,,E,UNKNOWN,STREET,,
69,2006-04-23,2006-04-23,20:00:00,88.0,BROOKLYN,348,VEHICLE AND TRAFFIC LAWS,45-64,M,BLACK,STREET,,
70,2006-04-29,2006-04-27,09:00:00,49.0,BRONX,351,CRIMINAL MISCHIEF & RELATED OF,25-44,F,BLACK,STREET,,
71,2008-08-27,2008-08-26,15:15:00,52.0,BRONX,341,PETIT LARCENY,18-24,F,WHITE,PARK/PLAYGROUND,40.869058532,-73.879630148
72,2010-07-24,2010-07-24,21:37:00,47.0,BRONX,105,ROBBERY,25-44,M,BLACK,STREET,40.887451313,-73.847607787
73,2010-08-19,2010-08-19,21:58:00,68.0,BROOKLYN,117,DANGEROUS DRUGS,,E,UNKNOWN,STREET,40.627490043,-74.007138062
74,2006-04-30,2006-04-30,02:10:00,7.0,MANHATTAN,113,FORGERY,,E,UNKNOWN,STREET,,
75,2006-11-06,2006-10-30,06:40:00,43.0,BRONX,114,ARSON,,E,UNKNOWN,RESIDENCE - APT. HOUSE,40.833825473,-73.86777226
76,2009-05-05,2009-05-05,14:30:00,18.0,MANHATTAN,230,JOSTLING,,E,UNKNOWN,FAST FOOD,40.76239442,-73.983421495
77,2006-04-22,2006-04-21,16:00:00,75.0,BROOKLYN,340,FRAUDS,45-64,M,BLACK,RESIDENCE-HOUSE,,
78,2006-12-05,2006-12-05,18:25:00,28.0,MANHATTAN,117,DANGEROUS DRUGS,,E,UNKNOWN,OTHER,40.801552393,-73.957467071
